id,emp_title,code,note
0,Reimage Church,B,
1,Director of Music Ministry,B,
2,Senior Pastor,A,
3,Church of the Messiah,B,
4,Pastor,A,
5,Church at The Well,B,
6,Senior Pastor,A,
7,Indianapolis Hebrew Congregation,B,
8,Eas Baton Rouge Parish Sheriff's Office,C,"Louisiana civil parish (East Baton Rouge Parish Sheriff's Office), not religious"
9,Pastor,A,
10,congregational care minister,A,
11,Executive Pastor,A,
12,Pastor,A,
13,St. Thomas Episcopal Church,B,
14,Pastor,A,
15,Minister,A,
16,Pastor,A,
17,Minister,A,
18,Senior Pastor,A,
19,Minister,A,
20,Parish Catechetical Leader ,B,
21,Senior Pastor,A,
22,Youth Pastor,A,
23,Pastoral Minister,A,
24,Lead Pastor,A,
25,Music Pastor,A,
26,Pastor,A,
27,Youth pastor,A,
28,Pastor,A,
29,Diocese of Rockville Centre,B,
30,Pastor,A,
31,Executive Pastor,A,
32,Children's Pastor,A,
33,Minister,A,
34,PASTOR,A,
35,Pastor,A,
36,Executive Pastor,A,
37,St. Joan of Arc Catholic Church,B,
38,Culinary Arts Ministry Manager,B,
39,Minister,A,
40,Pastor,A,
41,Pastor,A,
42,Senior Pastor,A,
43,All Saints Church,B,
44,Idlewild Baptist Church,B,
45,Minister,A,
46,Chaplain,A,
47,Pastor,A,
48,First Baptist Church,B,
49,Ministry assistant ,B,
50,Chaplain,A,
51,Senior Pastor,A,
52,Clergy,A,
53,Pastor,A,
54,Mt. Zion Baptist Church,B,
55,Pastor,A,
56,Senior Pastor,A,
57,senior pastor,A,
58,Pastor,A,
59,St. Lukie Catholic Church,B,
60,Pastor,A,
61,Senior Pastor,A,
62,Minister of Music,B,
63,Camden Missionary Church,B,
64,Church Planting Catalyst,B,
65,Ouachita Parish Sheriff's Office,C,"Louisiana civil parish (Ouachita Parish Sheriff's Office), not religious"
66,Minister,A,
67,Pastor,A,
68,Assoc. Pastor,A,
69,Priest,A,
70,Director of Family Ministry,B,
71,Youth Minister,A,
72,Pastor ,A,
73,Ministry Saint Joseph's Hospital,D,Malformed/unclear title 'Ministry Saint Joseph's Hospital'; may be hospital chaplaincy dept but role unclear
74,Pastor,A,
75,Associate Pastor ,A,
76,Senior Pastor,A,
77,Senior Pastor,A,
78,Minister of Education,B,
79,Pastor,A,
80,Supervising Chaplain,A,
81,Minister,A,
82,Pastor,A,
83,Clergy,A,
84,Church and Stagg,D,"'Church and Stagg' - unclear, possibly a street intersection (Brooklyn) or business name, not clearly a religious institution"
85,Pastor,A,
86,Chaplain,A,
87,Mount Moriah Baptist Church,B,
88,Pastor,A,
89,Pastoral Minister,A,
90,Chaplain,A,
91,Assistant Pastor,A,
92,Pastor,A,
93,Associate Pastor,A,
94,Minister,A,
95,Minister,A,
96,Pastor,A,
97,Pastor,A,
98,Chaplain II,A,
99,Good News Church,B,
100,Pastor,A,
101,Unicoi Church of God,B,
102,Senior Pastor,A,
103,Birmingham Diocese,B,
104,Pastor,A,
105,Associate Pastor,A,
106,Youth Pastor,A,
107,The United Methodist Church,B,
108,Senior Pastor,A,
109,Chaplain,A,
110,Chaplain,A,
111,The United Methodist Church,B,
112,"pastor, teacher administrator",A,
113,Pastor,A,
114,Pastor,A,
115,CHAPLAIN,A,
116,Little Blue Baptist Church,B,
117,Campus Pastor,A,
118,Pastor,A,
119,Pastor,A,
120,Minister,A,
121,Pastor,A,
122,Pastor,A,
123,Pastor,A,
124,Pastor,A,
125,pastor,A,
126,Priest,A,
127,Roman Catholic Priest,A,
128,Pastor,A,
129,Agua Dulce Baptist Church,B,
130,Senior Pastor,A,
131,Priest,A,
132,Grace Church of Sebring,B,
133,Senior Pastor,A,
134,Eagle Creek Church,B,
135,United Methodist Church,B,
136,phone minister,A,
137,Emmanuel Lutheran Church,B,
138,Pastor,A,
139,"Assistant Director, Chaplain and Reg. Ps",A,
140,Pastor,A,
141,pastor,A,
142,Crossroads Church,B,
143,Ministry Advancement Associate,B,
144,Pastor,A,
145,Diocese of Wichita,B,
146,Pastor,A,
147,Associate Pastor,A,
148,Minister of Music,B,
149,Pastor,A,
150,Priest,A,
151,Pastor ,A,
152,Pastor,A,
153,Pastor/Soccer Club Director,D,"'Pastor/Soccer Club Director' - combined title, unclear which employer/role applies; ambiguous"
154,Williamstown Christian Church,B,
155,Music Minister,B,
156,SENIOR PASTOR,A,
157,Pastor,A,
158,Episcopal Diocese of New York,B,
159,Youth Pastor,A,
160,Rockbridge Church,B,
161,Pastor,A,
162,Pastor,A,
163,InCommon Worship Leader,A,
164,Chaplain,A,
165,Assistant Pastor,A,
166,First United Methodist Church,B,
167,Associate Pastor,A,
168,Clergy/Administrator,A,
169,Minister,A,
170,Minister,A,
171,Pastor,A,
172,First Baptist Church,B,
173,Senior Pastor,A,
174,Missionary Associate,A,
175,Associate Pastor,A,
176,Priest,A,
177,Worship Pastor,A,
178,Bull Shoals United Methodist Church,B,
179,Senior Pastor,A,
180,Clergy,A,
181,Associate Pastor,A,
182,Senior Pastor,A,
183,Clergy ,A,
184,chaplain,A,
185,Lead Pastor,A,
186,Calvary Bible Church,B,
187,Pastor,A,
188,Minister,A,
189,Pastor,A,
190,Childrens Pastor,A,
191,First Prebyterian Church,B,
192,Parish Manager,D,'Parish Manager' - could be Catholic parish (B) or Louisiana civil parish office (C); no disambiguating context
193,Minister of Music,B,
194,Virginia United Methodist Church,B,
195,Pastor,A,
196,Executive Pastor,A,
197,Chaplain,A,
198,Pastor,A,
199,Pastor,A,
